
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Serum sodium decreased,1/2 %50.0,0/2 %0.0
Muscle weakness,1/2 %50.0,0/2 %0.0

Sorafenib and Erlotinib or Sorafenib Alone in Advanced Non-Small Cell Lung Cancer Progressing on Erlotinib(https://clinicaltrials.gov/show/NCT00609804)
 ,Sorafenib+Erlotinib,Sorafenib
 ,Sorafenib and Erlotinib: Sorafenib 400 mg twice daily by mouth Erlotinib 150 mg once daily by mouth Study treatment will be given in cycles of 28 days. Patients will be re-staged every 2 treatment cycles (every 8 weeks). Patients with an objective response or stable disease will continue study treatment. Patients will continue until disease progression or intolerable toxicity occurs.,Sorafenib: Sorafenib 400 mg twice daily by mouth. Study treatment will be given in cycles of 28 days. Patients will be re-staged every 2 treatment cycles (every 8 weeks). Patients with an objective response or stable disease will continue study treatment. Patients will continue until disease progression or intolerable toxicity occurs.
Total serious adverse events,11/25 %44.0,5/28 %17.86
Cardiac disorders - Other unspecified,1/25 %4.0,0/28 %0.0
Heart Failure,1/25 %4.0,0/28 %0.0
Constipation,1/25 %4.0,1/28 %3.57
Diarrhea,3/25 %12.0,0/28 %0.0
Dysphagia,1/25 %4.0,0/28 %0.0
Gastric perforation,1/25 %4.0,0/28 %0.0
Ileus,1/25 %4.0,0/28 %0.0
Nausea,1/25 %4.0,0/28 %0.0
Obstruction gastric,1/25 %4.0,0/28 %0.0
Abdominal pain,1/25 %4.0,0/28 %0.0
Vomiting,1/25 %4.0,0/28 %0.0
Fatigue,2/25 %8.0,0/28 %0.0
Non-cardiac chest pain,0/25 %0.0,1/28 %3.57
Anorexia,1/25 %4.0,0/28 %0.0
Dehydration,3/25 %12.0,0/28 %0.0
Hyperglycemia,1/25 %4.0,0/28 %0.0
Hypokalemia,0/25 %0.0,1/28 %3.57
Hyponatremia,1/25 %4.0,0/28 %0.0
Dizziness,0/25 %0.0,1/28 %3.57
Intracranial hemorrhage,1/25 %4.0,0/28 %0.0
Peripheral motor neuropathy,1/25 %4.0,0/28 %0.0
Cognitive disturbance,1/25 %4.0,0/28 %0.0
Confusion,0/25 %0.0,1/28 %3.57
Personality change,1/25 %4.0,0/28 %0.0
Respiratory thoracic and mediastinal disorders - Other COPD exacerbation,0/25 %0.0,1/28 %3.57
Cough,1/25 %4.0,0/28 %0.0
Respiratory failure,1/25 %4.0,0/28 %0.0
Rash,0/25 %0.0,1/28 %3.57
Hypertension,1/25 %4.0,1/28 %3.57
Thromboembolic event,0/25 %0.0,1/28 %3.57

A Phase II Study of Bevacizumab + Sorafenib in Metastatic Breast Cancer(https://clinicaltrials.gov/show/NCT00632541)
 ,Single Arm A
 ,Sorafenib 200mg po daily Bevacizumab 5mg/kg every other week 1 Cycle = 4 weeks. Imaging every third cycle
Total serious adverse events,4/18 %22.22
ASCITES (NON-MALIGNANT),1/18 %5.56
DEATH NOT ASSOCIATED WITH CTCAE TERM / DISEASE PROGRESSION NOS,1/18 %5.56
NEUROPATHY: SENSORY,1/18 %5.56
PAIN / CHEST WALL,1/18 %5.56

Phase II Study of Sorafenib + Carboplatin and Docetaxel in First Line Treatment of Stage IIIB/IV NSCLC(https://clinicaltrials.gov/show/NCT00647426)
 ,Sorafenib + Docetaxel
 ,400 mg po BID Sorafenib + 75 mg/m2 IV Docetaxel on day 1 plus AUC 6 on Carboplatin on day 1 of each 21 day cycle Sorafenib + Docetaxel/Carboplatin: 400 mg po BID Sorafenib + 75 mg/m2 IV Docetaxel on day 1 plus AUC 6 on Carboplatin on day 1 of each 21 day cycle
Total serious adverse events,0/7 %0.0

Axitinib (AG 013736) As Second Line Therapy For Metastatic Renal Cell Cancer(https://clinicaltrials.gov/show/NCT00678392)
 ,Axitinib 5 mg,Sorafenib 400 mg
 ,Axitinib (AG-013736) 5 milligram (mg) tablet administered orally twice daily in cycles of 4 weeks.,Sorafenib 400 mg tablet administered orally twice daily in cycles of 4 weeks.
Total serious adverse events,146/359 %40.67,127/355 %35.77
Anaemia,0/359 %0.0,8/355 %2.25
Splenic infarction,0/359 %0.0,1/355 %0.28
Acute coronary syndrome,0/359 %0.0,2/355 %0.56
Acute myocardial infarction,2/359 %0.56,0/355 %0.0
Angina pectoris,0/359 %0.0,2/355 %0.56
Arrhythmia supraventricular,1/359 %0.28,0/355 %0.0
Arteriosclerosis coronary artery,1/359 %0.28,0/355 %0.0
Atrial fibrillation,2/359 %0.56,0/355 %0.0
Atrial flutter,1/359 %0.28,0/355 %0.0
Atrioventricular block,0/359 %0.0,1/355 %0.28
Bradycardia,1/359 %0.28,0/355 %0.0
Cardiac arrest,1/359 %0.28,0/355 %0.0
Cardiac failure,2/359 %0.56,1/355 %0.28
Cardiopulmonary failure,2/359 %0.56,1/355 %0.28
Congestive cardiomyopathy,0/359 %0.0,1/355 %0.28
Coronary artery insufficiency,1/359 %0.28,0/355 %0.0
Haemorrhage coronary artery,1/359 %0.28,0/355 %0.0
Mitral valve incompetence,1/359 %0.28,0/355 %0.0
Myocardial infarction,6/359 %1.67,4/355 %1.13
Myocardial ischaemia,1/359 %0.28,0/355 %0.0
Prinzmetal angina,1/359 %0.28,0/355 %0.0
Supraventricular tachycardia,1/359 %0.28,0/355 %0.0
Tachycardia,0/359 %0.0,1/355 %0.28
Adrenal insufficiency,0/359 %0.0,1/355 %0.28
Hypothyroidism,1/359 %0.28,0/355 %0.0
Secondary hypothyroidism,1/359 %0.28,0/355 %0.0
Thyroiditis,0/359 %0.0,1/355 %0.28
Diplopia,1/359 %0.28,0/355 %0.0
Retinal artery embolism,0/359 %0.0,1/355 %0.28
Retinal artery occlusion,1/359 %0.28,0/355 %0.0
Retinal vein occlusion,1/359 %0.28,0/355 %0.0
Retinal vein thrombosis,1/359 %0.28,0/355 %0.0
Abdominal pain,1/359 %0.28,2/355 %0.56
Anal fistula,1/359 %0.28,0/355 %0.0
Ascites,0/359 %0.0,1/355 %0.28
Colitis ulcerative,0/359 %0.0,1/355 %0.28
Constipation,2/359 %0.56,1/355 %0.28
Diarrhoea,8/359 %2.23,5/355 %1.41
Duodenal ulcer haemorrhage,0/359 %0.0,1/355 %0.28
Enterocolitis,0/359 %0.0,1/355 %0.28
Gastric haemorrhage,2/359 %0.56,0/355 %0.0
Gastric ulcer,1/359 %0.28,0/355 %0.0
Gastritis,0/359 %0.0,1/355 %0.28
Gastrointestinal haemorrhage,0/359 %0.0,5/355 %1.41
Gastrointestinal perforation,1/359 %0.28,0/355 %0.0
Haematemesis,0/359 %0.0,1/355 %0.28
Inguinal hernia,3/359 %0.84,0/355 %0.0
Intestinal obstruction,4/359 %1.11,1/355 %0.28
Lower gastrointestinal haemorrhage,1/359 %0.28,1/355 %0.28
Melaena,1/359 %0.28,0/355 %0.0
Nausea,1/359 %0.28,1/355 %0.28
Pancreatitis,0/359 %0.0,1/355 %0.28
Rectal haemorrhage,0/359 %0.0,1/355 %0.28
Retroperitoneal haemorrhage,0/359 %0.0,1/355 %0.28
Small intestinal obstruction,1/359 %0.28,0/355 %0.0
Subileus,0/359 %0.0,1/355 %0.28
Upper gastrointestinal haemorrhage,0/359 %0.0,1/355 %0.28
Vomiting,5/359 %1.39,2/355 %0.56
Asthenia,2/359 %0.56,1/355 %0.28
Chest pain,2/359 %0.56,2/355 %0.56
Chills,1/359 %0.28,0/355 %0.0
Death,3/359 %0.84,6/355 %1.69
Device dislocation,0/359 %0.0,1/355 %0.28
Disease progression,32/359 %8.91,18/355 %5.07
Fatigue,4/359 %1.11,0/355 %0.0
General physical health deterioration,3/359 %0.84,5/355 %1.41
Hernia,1/359 %0.28,0/355 %0.0
Impaired healing,0/359 %0.0,1/355 %0.28
Inflammation,0/359 %0.0,1/355 %0.28
Malaise,1/359 %0.28,0/355 %0.0
Mucosal inflammation,1/359 %0.28,0/355 %0.0
Oedema,1/359 %0.28,0/355 %0.0
Pain,2/359 %0.56,3/355 %0.85
Pyrexia,7/359 %1.95,5/355 %1.41
Biliary dilatation,0/359 %0.0,1/355 %0.28
Budd-Chiari syndrome,1/359 %0.28,0/355 %0.0
Cholangitis,1/359 %0.28,1/355 %0.28
Cholecystitis,1/359 %0.28,1/355 %0.28
Cholelithiasis,0/359 %0.0,1/355 %0.28
Hepatic function abnormal,0/359 %0.0,1/355 %0.28
Hypersensitivity,1/359 %0.28,0/355 %0.0
Abdominal abscess,1/359 %0.28,0/355 %0.0
Appendicitis,1/359 %0.28,2/355 %0.56
Aspergillus infection,0/359 %0.0,1/355 %0.28
Bacterial diarrhoea,1/359 %0.28,0/355 %0.0
Cellulitis,0/359 %0.0,1/355 %0.28
Diverticulitis,0/359 %0.0,1/355 %0.28
Erysipelas,1/359 %0.28,0/355 %0.0
Gastroenteritis,1/359 %0.28,0/355 %0.0
Gastroenteritis viral,1/359 %0.28,0/355 %0.0
Herpes zoster,0/359 %0.0,1/355 %0.28
Infection,3/359 %0.84,0/355 %0.0
Intervertebral discitis,0/359 %0.0,1/355 %0.28
Lower respiratory tract infection,0/359 %0.0,4/355 %1.13
Lower respiratory tract infection bacterial,1/359 %0.28,0/355 %0.0
Lung infection,0/359 %0.0,1/355 %0.28
Muscle abscess,0/359 %0.0,1/355 %0.28
Pneumonia,5/359 %1.39,4/355 %1.13
Pneumonia streptococcal,1/359 %0.28,0/355 %0.0
Pneumonia viral,1/359 %0.28,0/355 %0.0
Pulmonary tuberculosis,0/359 %0.0,1/355 %0.28
Pyelonephritis,0/359 %0.0,1/355 %0.28
Respiratory tract infection,1/359 %0.28,1/355 %0.28
Sepsis,1/359 %0.28,2/355 %0.56
Septic shock,0/359 %0.0,1/355 %0.28
Urinary tract infection,2/359 %0.56,2/355 %0.56
Fall,1/359 %0.28,2/355 %0.56
Femoral neck fracture,1/359 %0.28,0/355 %0.0
Gastrointestinal anastomotic leak,1/359 %0.28,0/355 %0.0
Humerus fracture,1/359 %0.28,0/355 %0.0
Laceration,1/359 %0.28,0/355 %0.0
Lumbar vertebral fracture,2/359 %0.56,0/355 %0.0
Procedural pain,1/359 %0.28,0/355 %0.0
Radiation pneumonitis,1/359 %0.28,0/355 %0.0
Rib fracture,0/359 %0.0,1/355 %0.28
Soft tissue injury,0/359 %0.0,1/355 %0.28
Spinal compression fracture,1/359 %0.28,0/355 %0.0
Neutrophil count abnormal,1/359 %0.28,0/355 %0.0
Alanine aminotransferase increased,0/359 %0.0,1/355 %0.28
Aspartate aminotransferase increased,0/359 %0.0,1/355 %0.28
Blood alkaline phosphatase increased,0/359 %0.0,1/355 %0.28
Blood creatinine increased,2/359 %0.56,1/355 %0.28
Blood lactate dehydrogenase increased,0/359 %0.0,1/355 %0.28
C-reactive protein increased,0/359 %0.0,1/355 %0.28
Gamma-glutamyltransferase increased,0/359 %0.0,1/355 %0.28
Hepatic enzyme increased,0/359 %0.0,1/355 %0.28
Decreased appetite,3/359 %0.84,0/355 %0.0
Dehydration,10/359 %2.79,1/355 %0.28
Hypercalcaemia,1/359 %0.28,2/355 %0.56
Hyperkalaemia,2/359 %0.56,1/355 %0.28
Hypocalcaemia,0/359 %0.0,1/355 %0.28
Hypoglycaemia,1/359 %0.28,0/355 %0.0
Hypokalaemia,2/359 %0.56,0/355 %0.0
Hyponatraemia,1/359 %0.28,3/355 %0.85
Hypovolaemia,1/359 %0.28,0/355 %0.0
Arthralgia,1/359 %0.28,1/355 %0.28
Back pain,3/359 %0.84,2/355 %0.56
Flank pain,0/359 %0.0,1/355 %0.28
Musculoskeletal chest pain,0/359 %0.0,1/355 %0.28
Pain in extremity,2/359 %0.56,0/355 %0.0
Polyarthritis,0/359 %0.0,1/355 %0.28
Spinal column stenosis,0/359 %0.0,1/355 %0.28
Spondylolisthesis,0/359 %0.0,1/355 %0.28
Metastasis,1/359 %0.28,0/355 %0.0
Metastatic pain,0/359 %0.0,1/355 %0.28
Neoplasm progression,1/359 %0.28,0/355 %0.0
Renal cell carcinoma,1/359 %0.28,1/355 %0.28
Squamous cell carcinoma,0/359 %0.0,1/355 %0.28
Tumour associated fever,1/359 %0.28,0/355 %0.0
Aphasia,1/359 %0.28,0/355 %0.0
Balance disorder,0/359 %0.0,1/355 %0.28
Central nervous system haemorrhage,1/359 %0.28,0/355 %0.0
Cerebral infarction,0/359 %0.0,1/355 %0.28
Cerebral ischaemia,0/359 %0.0,1/355 %0.28
Cerebrovascular accident,2/359 %0.56,1/355 %0.28
Dizziness,3/359 %0.84,0/355 %0.0
Headache,1/359 %0.28,0/355 %0.0
Hemiparesis,0/359 %0.0,1/355 %0.28
Ischaemic stroke,0/359 %0.0,1/355 %0.28
Leukoencephalopathy,1/359 %0.28,0/355 %0.0
Loss of consciousness,2/359 %0.56,0/355 %0.0
Meningeal disorder,1/359 %0.28,0/355 %0.0
Monoplegia,0/359 %0.0,1/355 %0.28
Presyncope,1/359 %0.28,0/355 %0.0
Seizure,1/359 %0.28,0/355 %0.0
Spinal cord compression,2/359 %0.56,0/355 %0.0
Syncope,2/359 %0.56,0/355 %0.0
Transient ischaemic attack,3/359 %0.84,0/355 %0.0
Anxiety,0/359 %0.0,1/355 %0.28
Confusional state,1/359 %0.28,0/355 %0.0
Disorientation,1/359 %0.28,0/355 %0.0
Mental status changes,1/359 %0.28,1/355 %0.28
Acute kidney injury,4/359 %1.11,2/355 %0.56
Acute prerenal failure,1/359 %0.28,0/355 %0.0
Haematuria,1/359 %0.28,0/355 %0.0
Nephropathy,0/359 %0.0,1/355 %0.28
Oliguria,0/359 %0.0,1/355 %0.28
Renal failure,1/359 %0.28,0/355 %0.0
Urinary retention,1/359 %0.28,0/355 %0.0
Benign prostatic hyperplasia,1/265 %0.38,0/258 %0.0
Menometrorrhagia,0/96 %0.0,1/104 %0.96
Vaginal polyp,1/96 %1.04,0/104 %0.0
Chronic obstructive pulmonary disease,0/359 %0.0,1/355 %0.28
Cough,0/359 %0.0,1/355 %0.28
Dyspnoea,7/359 %1.95,3/355 %0.85
Dyspnoea exertional,1/359 %0.28,0/355 %0.0
Epistaxis,1/359 %0.28,1/355 %0.28
Haemoptysis,1/359 %0.28,2/355 %0.56
Haemothorax,0/359 %0.0,1/355 %0.28
Interstitial lung disease,1/359 %0.28,0/355 %0.0
Lung disorder,1/359 %0.28,0/355 %0.0
Pleural effusion,3/359 %0.84,5/355 %1.41
Pleurisy,0/359 %0.0,1/355 %0.28
Pneumothorax,4/359 %1.11,1/355 %0.28
Pneumothorax spontaneous,1/359 %0.28,0/355 %0.0
Pulmonary embolism,7/359 %1.95,1/355 %0.28
Pulmonary haemorrhage,0/359 %0.0,2/355 %0.56
Respiratory distress,1/359 %0.28,0/355 %0.0
Erythema multiforme,0/359 %0.0,3/355 %0.85
Hyperhidrosis,1/359 %0.28,0/355 %0.0
Palmar-plantar erythrodysaesthesia syndrome,0/359 %0.0,1/355 %0.28
Pustular psoriasis,0/359 %0.0,1/355 %0.28
Rash,0/359 %0.0,2/355 %0.56
Urticaria,1/359 %0.28,0/355 %0.0
Pain management,0/359 %0.0,1/355 %0.28
Vertebroplasty,0/359 %0.0,1/355 %0.28
Accelerated hypertension,1/359 %0.28,0/355 %0.0
Deep vein thrombosis,1/359 %0.28,1/355 %0.28
Hypertension,1/359 %0.28,2/355 %0.56
Hypertensive crisis,1/359 %0.28,0/355 %0.0
Hypotension,1/359 %0.28,4/355 %1.13
Infarction,0/359 %0.0,1/355 %0.28
Jugular vein thrombosis,1/359 %0.28,0/355 %0.0
Subclavian vein thrombosis,1/359 %0.28,0/355 %0.0

Sorafenib  Lenalidomide  and Dexamethasone in Treating Patients With Relapsed or Refractory Multiple Myeloma(https://clinicaltrials.gov/show/NCT00687674)
 ,Sorafenib + Lenalidomide + Dexamethasone
 
Total serious adverse events,3/13 %23.08
Pneumonia,1/13 %7.69
Leukopenia,1/13 %7.69
Rash,1/13 %7.69

Sorafenib in Treating Non-Smokers or Former Light Smokers With Relapsed or Refractory Stage IIIB or Stage IV Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00754923)
 ,Treatment: Sorafenib
 ,Sorafenib will be administered at a dose of 400 mg taken twice daily continuously on a 28 day cycle. sorafenib: administered orally at 400 mg taken twice daily  continuously on a 28 day cycle as an outpatient.
Total serious adverse events,1/11 %9.09
Fatigue,1/11 %9.09

Sorafenib Therapy Prior to Radiofrequency Ablation for Intermediate Sized Hepatocellular Cancer(https://clinicaltrials.gov/show/NCT00813293)
 ,Sorafenib,Placebo
 ,Participants received a nine-day course of oral sorafenib 400 mg twice a day and radiofrequency ablation (RFA) on Day 10. Tumors in each group underwent RFA using a standard regimen (1 cm tip 70 ± 2º C 5 min). Sorafenib radiofrequency ablation,Participants received a nine-day course of placebo pills twice a day and radiofrequency ablation (RFA) on Day 10. Tumors in each group underwent RFA using a standard regimen (1 cm tip 70 ± 2º C 5 min). radiofrequency ablation
Total all-cause mortality,0/9 %0.0,0/10 %0.0
Total serious adverse events,1/9 %11.11,1/10 %10.0
Liver hemorrhage,0/9 %0.0,1/10 %10.0
Leukocytes,1/9 %11.11,0/10 %0.0
Lymphopenia,1/9 %11.11,0/10 %0.0
AST SGOT,1/9 %11.11,0/10 %0.0
Bilirubin,1/9 %11.11,0/10 %0.0

Study of Sorafenib/Cetuximab in Head and Neck Cancer(https://clinicaltrials.gov/show/NCT00815295)
 ,Phase 1 - Dose Level 1,Phase 1 - Dose Level 2,Phase 2
 ,Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib 200 mg/m2 was administered orally twice daily.,Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib 400 mg/m2 was administered orally twice daily.,Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib was administered orally twice daily at the MTD from Phase I.
Total serious adverse events,1/8 %12.5,1/8 %12.5,5/12 %41.67
Myocardial infarction,1/8 %12.5,0/8 %0.0,0/12 %0.0
Nausea,0/8 %0.0,1/8 %12.5,0/12 %0.0
Vomiting,0/8 %0.0,1/8 %12.5,0/12 %0.0
Death NOS,0/8 %0.0,0/8 %0.0,2/12 %16.67
General disorders and administration site conditions - Other specify,0/8 %0.0,0/8 %0.0,1/12 %8.33
Cytokine release syndrome,0/8 %0.0,0/8 %0.0,1/12 %8.33
Dehydration,0/8 %0.0,1/8 %12.5,0/12 %0.0
Respiratory thoracic and mediastinal disorders - Other specify,0/8 %0.0,0/8 %0.0,1/12 %8.33

Phase I/II Trial of Sorafenib Plus Ixabepilone in HER2-Negative Metastatic Breast Cancer(https://clinicaltrials.gov/show/NCT00825734)
 ,Dose Level 1a
 ,Includes patients treated at the Phase II dose - Sorafenib PO BID (400mg) Ixabepilone IV every 21 days (32mg/m^2)
Total serious adverse events,6/76 %7.89
ANEMIA,1/76 %1.32
DEATH,1/76 %1.32
INFECTION,1/76 %1.32
WEIGHT LOSS,1/76 %1.32
BACK PAIN,1/76 %1.32
ACUTE RENAL FAILURE,1/76 %1.32
DYSPNEA,2/76 %2.63
PNEUMONIA,1/76 %1.32
PALMAR-PLANTAR ERYTHRODYSESTHESIA SYNDROME,1/76 %1.32
RASH,1/76 %1.32

Study of Sorafenib and Transarterial Chemoembolization (TACE) to Treat Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT00844883)
 ,Sorafenib and Drug Eluting Beads
 ,single arm sorafenib: sorafenib: given 400 mg twice per day for as long as it is beneficial LC Bead-TACE: LC Beads loaded with doxorubicin Doxorubicin loaded LC Beads: given intra-arterially into the liver up to fours times in a 6 month period
Total all-cause mortality,3/50 %6.0
Total serious adverse events,8/50 %16.0
Abdominal pain,1/50 %2.0
Non-cardiac chest pain,2/50 %4.0
Overdose on pain medication,1/50 %2.0
Cholangitis,1/50 %2.0
Elevated creatinine,1/50 %2.0
Tumor rupture,1/50 %2.0
Encephalopathy,1/50 %2.0

Randomized Phase 1/2 Open-Label Trial of PR104 and Sorafenib in Patients With Advanced Hepatocellular Carcinoma (HCC)(https://clinicaltrials.gov/show/NCT00862082)
 ,PR104 550 mg/m^2 + Sorafenib,PR104 770 mg/m^2 + Sorafenib
 ,550 mg/m^2 PR104 administered IV every 4 weeks + Standard dose sorafenib (400 mg PO twice daily),770 mg/m^2 PR104 administered IV every 4 weeks + Standard dose sorafenib (400 mg PO twice daily)
Total serious adverse events,5/8 %62.5,2/6 %33.33
Febrile neutropenia,1/8 %12.5,0/6 %0.0
Abdominal Pain,2/8 %25.0,0/6 %0.0
Decrease in general condition,1/8 %12.5,0/6 %0.0
Fatigue,0/8 %0.0,1/6 %16.67
Fever in absence of neutropenia,2/8 %25.0,0/6 %0.0
Cellulitis,1/8 %12.5,0/6 %0.0
Sepsis,0/8 %0.0,1/6 %16.67
Thrombocytopenia,1/8 %12.5,0/6 %0.0

Trial of Neoadjuvant Conformal Radiotherapy Plus Sorafenib for Patients With Soft Tissue Sarcoma of the Extremity and Body Wall(https://clinicaltrials.gov/show/NCT00864032)
 ,Sorafenib 200/200,Sorafenib 200/400
 ,Dose level 1. Sorafenib 200 mg PO BID,Dose level 2. Sorafenib 200 mg PO Q AM and 400 mg PO Q PM
Total serious adverse events,0/3 %0.0,2/5 %40.0
rash,0/3 %0.0,2/5 %40.0

Cisplatin or Carboplatin and Sorafenib in Treating Patients With Liver Cancer That Cannot Be Removed By Surgery(https://clinicaltrials.gov/show/NCT00875615)
 ,Cisplatin or Carboplatin + Sorafenib
 ,Cisplatin : Cisplatin 60 m/m² via percutaneous intrahepatic (IA) artery infusion at the investigator's discretion. Treatment is given every 6 weeks for up to 12 Cycles. Sorafenib : Sorafenib 400 mg po bid daily starting on Day 1 (± up to 3 days) continuously. Carboplatin : Carboplatin AUC =6 at the investigator's discretion. Treatment is given every 6 weeks for up to 12 Cycles.
Total serious adverse events,0/10 %0.0

A Study of IMC-A12 in Combination With Sorafenib in Participants With Advanced Cancer of the Liver(https://clinicaltrials.gov/show/NCT00906373)
 ,Cohort 1 - 10 mg/kg Cixutumumab,Cohort 2 - 20 mg/kg Cixutumumab
 ,Cixutumumab: 10 mg/kg administered by IV infusion on Day 1 of each 3-week cycle. Sorafenib: 400 mg administered orally twice per day on Days 1 through 21 of each 3-week cycle. Treatment cycles were repeated until there was evidence of PD toxicity or participant withdrawal.,Cixutumumab: 20 mg/kg administered by IV infusions on Day 1 of each 3-week cycle. Sorafenib: 400 mg administered orally twice per day on Days 1 through 21 of each 3-week cycle. Treatment cycles were repeated until there was evidence of PD toxicity or participant withdrawal.
Total serious adverse events,4/6 %66.67,15/41 %36.59
Retinal tear,0/6 %0.0,1/41 %2.44
Abdominal pain,0/6 %0.0,1/41 %2.44
Colitis,0/6 %0.0,1/41 %2.44
Diarrhoea,1/6 %16.67,0/41 %0.0
Gastrointestinal haemorrhage,2/6 %33.33,2/41 %4.88
Pancreatitis,1/6 %16.67,0/41 %0.0
Small intestinal perforation,0/6 %0.0,1/41 %2.44
Asthenia,0/6 %0.0,1/41 %2.44
Chest pain,0/6 %0.0,1/41 %2.44
Pyrexia,0/6 %0.0,2/41 %4.88
Bile duct stenosis,0/6 %0.0,1/41 %2.44
Cholangitis,1/6 %16.67,0/41 %0.0
Hepatic haemorrhage,0/6 %0.0,1/41 %2.44
Peritonitis,0/6 %0.0,1/41 %2.44
Peritonitis bacterial,0/6 %0.0,1/41 %2.44
Septic shock,1/6 %16.67,1/41 %2.44
Infusion related reaction,1/6 %16.67,0/41 %0.0
Spinal compression fracture,0/6 %0.0,1/41 %2.44
Blood bilirubin increased,0/6 %0.0,1/41 %2.44
Lipase increased,0/6 %0.0,1/41 %2.44
Liver function test abnormal,0/6 %0.0,1/41 %2.44
Dehydration,1/6 %16.67,0/41 %0.0
Hyperglycaemia,0/6 %0.0,2/41 %4.88
Neoplasm malignant,1/6 %16.67,2/41 %4.88
Neoplasm progression,0/6 %0.0,1/41 %2.44
Headache,0/6 %0.0,1/41 %2.44
Renal failure acute,1/6 %16.67,1/41 %2.44
Pleural effusion,0/6 %0.0,1/41 %2.44
Respiratory failure,0/6 %0.0,1/41 %2.44

Sorafenib for Patients With Metastatic or Recurrent Esophageal and Gastroesophageal Junction Cancer(https://clinicaltrials.gov/show/NCT00917462)
 ,Sorafenib
 ,Sorafenib for patients with metastatic or recurrent esophageal and gastroesophageal junction cancer. Sorafenib administered orally: Sorafenib 400 mg twice daily administered continuously. Patients will continue on treatment until progression of disease. Each cycle consists of 28 days. The cycle start date will coincide with the physician visit date. Because of the potential need for physician visit scheduling to vary (due to both physician and patient issues) to avoid violation of and deviation from the protocol these visits may vary by up to one to fourteen (1-14) days. A study diary will be completed by patients to ensure compliance with the study drug.
Total all-cause mortality,35/35 %100.0
Total serious adverse events,15/35 %42.86
Sinus Tachycardia,1/35 %2.86
Constipation,1/35 %2.86
Dry Mouth,1/35 %2.86
Dysphagia,1/35 %2.86
Fistula - GI Esophagus,2/35 %5.71
Vomiting,1/35 %2.86
Constitutional Symptoms Other,1/35 %2.86
Edema: viscera,1/35 %2.86
Fatigue,2/35 %5.71
Fever,1/35 %2.86
Pain - Other,1/35 %2.86
Rigors/Chills,1/35 %2.86
Pleural Infection,1/35 %2.86
Hyperbilirubinemia,1/35 %2.86
Hypercalcemia,1/35 %2.86
Dehydration,4/35 %11.43
Pain - Chest Wall,1/35 %2.86
Pain in extremity,1/35 %2.86
Secondary malignancy,1/35 %2.86
Motor neuropathy,2/35 %5.71
Confusion,2/35 %5.71
Renal/Genitourinary - Other,1/35 %2.86
Cough,1/35 %2.86
Dyspnea,1/35 %2.86
Pleural effusion,1/35 %2.86
Pneumonitis,1/35 %2.86
Hypertension,1/35 %2.86
Thrombosis/Thrombus/Embolism,1/35 %2.86

Axitinib (AG-013736) For the Treatment of Metastatic Renal Cell Cancer(https://clinicaltrials.gov/show/NCT00920816)
 ,Axitinib (First-line Participants),Sorafenib (First-line Participants),Axitinib (Second-line Participants),Sorafenib (Second-line Participants)
