
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Total serious adverse events,7/42 %16.67,7/42 %16.67,10/42 %23.81,2/12 %16.67
Febrile neutropenia,1/42 %2.38,0/42 %0.0,1/42 %2.38,0/12 %0.0
Left venrticular dysfunction,1/42 %2.38,1/42 %2.38,0/42 %0.0,0/12 %0.0
Cardiac valve disease,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Diarrhoea,0/42 %0.0,0/42 %0.0,2/42 %4.76,0/12 %0.0
Abdominal pain,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Colitis,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Nausea,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Vomiting,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Pyrexia,0/42 %0.0,2/42 %4.76,1/42 %2.38,0/12 %0.0
Influenza like illness,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Oedema peripheral,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Fatigue,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Cholecystitis,0/42 %0.0,0/42 %0.0,0/42 %0.0,1/12 %8.33
Infection,1/42 %2.38,0/42 %0.0,1/42 %2.38,0/12 %0.0
Erysipelas,0/42 %0.0,1/42 %2.38,1/42 %2.38,0/12 %0.0
Cellulitis,1/42 %2.38,0/42 %0.0,0/42 %0.0,1/12 %8.33
Neutropenic infection,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Osteomyelitis,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Bacteraemia,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Cystitis,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Device related infection,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Radiation skin injury,1/42 %2.38,0/42 %0.0,0/42 %0.0,0/12 %0.0
Hypokalaemia,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Hyponatraemia,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0
Syncope,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Anxiety,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Depression,0/42 %0.0,1/42 %2.38,0/42 %0.0,0/12 %0.0
Dyspnoea,1/42 %2.38,1/42 %2.38,0/42 %0.0,0/12 %0.0
Embolism,2/42 %4.76,1/42 %2.38,1/42 %2.38,0/12 %0.0
Haematoma,0/42 %0.0,0/42 %0.0,1/42 %2.38,0/12 %0.0

LC Bead Embolization Agent With Doxorubicin in the Treatment Liver Metastasis From Melanoma(https://clinicaltrials.gov/show/NCT01010984)
 ,Single Arm
 ,Tace using LC beads loaded with 150mg of Doxorubicin. May have up to 6 treatments.
Total all-cause mortality,19/20 %95.0
Total serious adverse events,19/20 %95.0
Bradycardia,1/20 %5.0
Intractable Nausea,3/20 %15.0
Cholecystitis,1/20 %5.0
Gastrointestinal Enteritis,1/20 %5.0
Pancreatitis,1/20 %5.0
Perforated Bowel,1/20 %5.0
Over Sedation,1/20 %5.0
Fever,1/20 %5.0
Hepatic Biliary Dilitation,3/20 %15.0
Ruptured Hepatic Lesion,1/20 %5.0
Staph Infection,1/20 %5.0
Stroke,1/20 %5.0
Urinary Tract Infection,1/20 %5.0
Pleural Effusion,1/20 %5.0
Hypertension,1/20 %5.0

Sorafenib Tosylate With or Without Doxorubicin Hydrochloride in Treating Patients With Locally Advanced or Metastatic Liver Cancer(https://clinicaltrials.gov/show/NCT01015833)
 ,Arm I (Doxorubicin Hydrochloride Sorafenib Tosylate),Arm II (Sorafenib Tosylate)
 ,Patients receive 60 mg/m2 doxorubicin hydrochloride IV on day 1 and 400 mg sorafenib tosylate PO QD or BID on days 1-21. Treatment repeats every 21 days for 6 courses in the absence of disease progression or unacceptable toxicity. After 6 courses patients may continue to receive sorafenib tosylate PO QD or BID in the absence of disease progression or unacceptable toxicity.,Patients receive 400 mg sorafenib tosylate PO QD or BID on days 1-21. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity.
Total all-cause mortality,12/167 %7.19,16/171 %9.36
Total serious adverse events,71/167 %42.51,57/171 %33.33
Anemia,9/167 %5.39,4/171 %2.34
Febrile neutropenia,7/167 %4.19,0/171 %0.0
Leukocytosis,1/167 %0.6,0/171 %0.0
Spleen disorder,0/167 %0.0,1/171 %0.58
Thrombotic thrombocytopenic purpura,0/167 %0.0,1/171 %0.58
Atrial fibrillation,3/167 %1.8,1/171 %0.58
Cardiac disorder,1/167 %0.6,0/171 %0.0
Chest pain - cardiac,0/167 %0.0,1/171 %0.58
Left ventricular systolic dysfunction,3/167 %1.8,0/171 %0.0
Myocardial infarction,1/167 %0.6,0/171 %0.0
Palpitations,1/167 %0.6,0/171 %0.0
Sinus bradycardia,0/167 %0.0,1/171 %0.58
Sinus tachycardia,1/167 %0.6,1/171 %0.58
Hypothyroidism,1/167 %0.6,1/171 %0.58
Conjunctivitis,1/167 %0.6,0/171 %0.0
Abdominal distension,0/167 %0.0,1/171 %0.58
Abdominal pain,22/167 %13.17,28/171 %16.37
Anal mucositis,1/167 %0.6,0/171 %0.0
Ascites,3/167 %1.8,2/171 %1.17
Colitis,2/167 %1.2,0/171 %0.0
Constipation,1/167 %0.6,0/171 %0.0
Diarrhea,27/167 %16.17,13/171 %7.6
Dyspepsia,1/167 %0.6,0/171 %0.0
Dysphagia,3/167 %1.8,0/171 %0.0
Esophageal ulcer,1/167 %0.6,0/171 %0.0
Esophageal varices hemorrhage,1/167 %0.6,4/171 %2.34
Esophagitis,2/167 %1.2,0/171 %0.0
Gastric hemorrhage,0/167 %0.0,2/171 %1.17
Gastrointestinal disorders - Other specify,0/167 %0.0,1/171 %0.58
Hemorrhoidal hemorrhage,0/167 %0.0,1/171 %0.58
Lower gastrointestinal hemorrhage,1/167 %0.6,0/171 %0.0
Mucositis oral,17/167 %10.18,4/171 %2.34
Nausea,34/167 %20.36,24/171 %14.04
Pancreatitis,2/167 %1.2,0/171 %0.0
Rectal hemorrhage,1/167 %0.6,0/171 %0.0
Rectal mucositis,1/167 %0.6,0/171 %0.0
Upper gastrointestinal hemorrhage,1/167 %0.6,3/171 %1.75
Vomiting,4/167 %2.4,6/171 %3.51
Death NOS,4/167 %2.4,7/171 %4.09
Edema limbs,1/167 %0.6,0/171 %0.0
Edema trunk,0/167 %0.0,1/171 %0.58
Fatigue,49/167 %29.34,32/171 %18.71
Fever,2/167 %1.2,1/171 %0.58
Localized edema,0/167 %0.0,1/171 %0.58
Multi-organ failure,1/167 %0.6,0/171 %0.0
Non-cardiac chest pain,0/167 %0.0,2/171 %1.17
Pain,1/167 %0.6,0/171 %0.0
Sudden death NOS,1/167 %0.6,2/171 %1.17
Cholecystitis,0/167 %0.0,1/171 %0.58
Gallbladder obstruction,1/167 %0.6,1/171 %0.58
Hepatic failure,3/167 %1.8,1/171 %0.58
Hepatic hemorrhage,0/167 %0.0,2/171 %1.17
Hepatobiliary disorders - Other specify,0/167 %0.0,1/171 %0.58
Anaphylaxis,1/167 %0.6,0/171 %0.0
Abdominal infection,0/167 %0.0,1/171 %0.58
Bone infection,1/167 %0.6,1/171 %0.58
Infections and infestations - Other specify,3/167 %1.8,1/171 %0.58
Lung infection,6/167 %3.59,0/171 %0.0
Peritoneal infection,1/167 %0.6,1/171 %0.58
Rash pustular,1/167 %0.6,0/171 %0.0
Sepsis,5/167 %2.99,2/171 %1.17
Skin infection,2/167 %1.2,2/171 %1.17
Urinary tract infection,1/167 %0.6,0/171 %0.0
Wound infection,0/167 %0.0,1/171 %0.58
Fall,0/167 %0.0,2/171 %1.17
Fracture,0/167 %0.0,1/171 %0.58
Wound complication,1/167 %0.6,0/171 %0.0
Activated partial thromboplastin time prolonged,0/167 %0.0,1/171 %0.58
Alanine aminotransferase increased,3/167 %1.8,3/171 %1.75
Alkaline phosphatase increased,3/167 %1.8,4/171 %2.34
Aspartate aminotransferase increased,4/167 %2.4,6/171 %3.51
Blood bilirubin increased,8/167 %4.79,7/171 %4.09
Creatinine increased,3/167 %1.8,0/171 %0.0
Ejection fraction decreased,3/167 %1.8,1/171 %0.58
Haptoglobin decreased,1/167 %0.6,0/171 %0.0
INR increased,2/167 %1.2,1/171 %0.58
Leukocyte count decreased,1/167 %0.6,0/171 %0.0
Lipase increased,1/167 %0.6,0/171 %0.0
Lymphocyte count decreased,6/167 %3.59,2/171 %1.17
Neutrophil count decreased,31/167 %18.56,0/171 %0.0
Platelet count decreased,35/167 %20.96,20/171 %11.7
Weight loss,2/167 %1.2,1/171 %0.58
White blood cell decreased,10/167 %5.99,0/171 %0.0
Anorexia,5/167 %2.99,4/171 %2.34
Dehydration,14/167 %8.38,5/171 %2.92
Hyperglycemia,2/167 %1.2,2/171 %1.17
Hyperkalemia,4/167 %2.4,1/171 %0.58
Hypernatremia,0/167 %0.0,1/171 %0.58
Hypoalbuminemia,4/167 %2.4,1/171 %0.58
Hypokalemia,2/167 %1.2,0/171 %0.0
Hypomagnesemia,0/167 %0.0,1/171 %0.58
Hyponatremia,10/167 %5.99,4/171 %2.34
Hypophosphatemia,4/167 %2.4,1/171 %0.58
Metabolism and nutrition disorders - Other specify,0/167 %0.0,1/171 %0.58
Serum phosphate decreased,1/167 %0.6,0/171 %0.0
Back pain,1/167 %0.6,1/171 %0.58
Bone pain,0/167 %0.0,1/171 %0.58
Generalized muscle weakness,1/167 %0.6,1/171 %0.58
Myalgia,1/167 %0.6,0/171 %0.0
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other specify,1/167 %0.6,3/171 %1.75
Treatment related secondary malignancy,2/167 %1.2,0/171 %0.0
Amnesia,1/167 %0.6,0/171 %0.0
Headache,0/167 %0.0,1/171 %0.58
Intracranial hemorrhage,0/167 %0.0,1/171 %0.58
Nervous system disorders - Other specify,1/167 %0.6,0/171 %0.0
Seizure,0/167 %0.0,1/171 %0.58
Syncope vasovagal,1/167 %0.6,0/171 %0.0
Anxiety,1/167 %0.6,1/171 %0.58
Confusion,1/167 %0.6,2/171 %1.17
Acute kidney injury,1/167 %0.6,0/171 %0.0
Hematuria,2/167 %1.2,1/171 %0.58
Urogenital disorder,1/167 %0.6,0/171 %0.0
Dyspnea,4/167 %2.4,4/171 %2.34
Epistaxis,1/167 %0.6,3/171 %1.75
Hypoxia,1/167 %0.6,1/171 %0.58
Pulmonary edema,0/167 %0.0,1/171 %0.58
Sore throat,1/167 %0.6,0/171 %0.0
Alopecia,2/167 %1.2,0/171 %0.0
Erythema multiforme,1/167 %0.6,0/171 %0.0
Palmar-plantar erythrodysesthesia syndrome,13/167 %7.78,10/171 %5.85
Pruritus,1/167 %0.6,0/171 %0.0
Rash maculo-papular,1/167 %0.6,2/171 %1.17
Scalp pain,0/167 %0.0,1/171 %0.58
Skin ulceration,3/167 %1.8,3/171 %1.75
Stevens-Johnson syndrome,1/167 %0.6,0/171 %0.0
Hypertension,21/167 %12.57,16/171 %9.36
Hypotension,2/167 %1.2,1/171 %0.58
Thromboembolic event,0/167 %0.0,3/171 %1.75

Study of Pazopanib and Doxil in Patients With Advanced Relapsed Platinum-Sensitive or Platinum-Resistant Ovarian  Fallopian Tube or Primary Peritoneal Adenocarcinoma(https://clinicaltrials.gov/show/NCT01035658)
 ,Dose Level 1,Dose Level -1,Dose Level 1 Sequential,Dose Level 2 Sequential
 ,Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period followed by a combination of pazopanib (400mg) and liposomal doxorubicin (40mg) administered in 28-day treatment cycles. Cycles will continue until disease progression unacceptable toxicity or withdrawal.  Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.  Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle,Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period followed by a combination of pazopanib (400mg) and liposomal doxorubicin (30mg) administered in 28-day treatment cycles. Cycles will continue until disease progression unacceptable toxicity or withdrawal.  Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.  Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle,Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule liposomal doxorubicin (30mg) was given on day 1 and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression unacceptable toxicity or withdrawal.  Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.  Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle,Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule liposomal doxorubicin (40mg) was given on day 1 and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression unacceptable toxicity or withdrawal.  Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.  Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle
Total serious adverse events,3/5 %60.0,1/8 %12.5,2/3 %66.67,1/6 %16.67
Atrial Fibrillation,0/5 %0.0,0/8 %0.0,1/3 %33.33,0/6 %0.0
Abdominal pain,1/5 %20.0,0/8 %0.0,0/3 %0.0,0/6 %0.0
Pancreatitis,1/5 %20.0,0/8 %0.0,0/3 %0.0,0/6 %0.0
General disorders and administration site conditions - Other disease progression,0/5 %0.0,1/8 %12.5,0/3 %0.0,0/6 %0.0
Urinary tract infection,0/5 %0.0,1/8 %12.5,0/3 %0.0,0/6 %0.0
Infections and infestations - Other pneumonia,0/5 %0.0,0/8 %0.0,2/3 %66.67,0/6 %0.0
Fracture,0/5 %0.0,0/8 %0.0,0/3 %0.0,1/6 %16.67
Alanine aminotransferase increased,1/5 %20.0,0/8 %0.0,0/3 %0.0,0/6 %0.0
Aspartate aminotransferase increased,1/5 %20.0,0/8 %0.0,0/3 %0.0,0/6 %0.0
Dehydration,1/5 %20.0,1/8 %12.5,0/3 %0.0,0/6 %0.0
Generalized muscle weakness,1/5 %20.0,0/8 %0.0,0/3 %0.0,0/6 %0.0
Respiratory thoracic and mediastinal disorders - Other COPD exacerbation,0/5 %0.0,0/8 %0.0,1/3 %33.33,0/6 %0.0

Temozolomide  Cixutumumab  and Combination Chemotherapy in Treating Patients With Metastatic Rhabdomyosarcoma(https://clinicaltrials.gov/show/NCT01055314)
 ,Group 1 (Chemotherapy Radiation Therapy Cixutumumab),Group 2 (Chemotherapy Radiation Therapy Temozolomide)
 ,Patients receive vincristine sulfate IV over 1 minute on day 1 of weeks 1-5 7 8 11 12 15 16 20-24 28 29 32 33 35 38 41-44 47 48 50 & 51; irinotecan hydrochloride IV over 90 minutes on days 1-5 of weeks 1 4 20 23 47 & 50; ifosfamide IV over 1 hour and etoposide IV over 1-2 hours on days 1-5 of weeks 9 13 17 26 & 30; doxorubicin hydrochloride IV over 1-15 minutes on days 1 and 2 of weeks 7 11 15 28 & 32; cyclophosphamide IV over 30-60 minutes on day 1 of weeks 7 11 15 28 32 35 38 41 & 44; dactinomycin IV over 1-5 minutes on day 1 of weeks 35 38 41 & 44; and cixutumumab IV over 1 hour on day 1 of weeks 1-51. Patients also undergo radiation therapy on days 1-5 of weeks 20-24.  Cixutumumab: Given IV  Cyclophosphamide: Given IV  Dactinomycin: Given IV  Doxorubicin Hydrochloride: Given IV  Etoposide: Given IV  Ifosfamide: Given IV  Irinotecan Hydrochloride: Given IV  Laboratory Biomarker Analysis: Correlative studies  Vincristine Sulfate,Patients receive vincristine sulfate irinotecan hydrochloride ifosfamide etoposide doxorubicin hydrochloride cyclophosphamide and dactinomycin and undergo radiation therapy as in group 1. Patients also receive temozolomide PO on days 1-5 of weeks 1 4 20 23 47 and 50.  Cyclophosphamide: Given IV  Dactinomycin: Given IV  Doxorubicin Hydrochloride: Given IV  Etoposide: Given IV  Ifosfamide: Given IV  Irinotecan Hydrochloride: Given IV  Laboratory Biomarker Analysis: Correlative studies  Temozolomide: Given PO  Vincristine Sulfate Liposome: Given IV
Total serious adverse events,79/96 %82.29,40/70 %57.14
Anemia,4/96 %4.17,1/70 %1.43
Bone marrow hypocellular,1/96 %1.04,0/70 %0.0
Disseminated intravascular coagulation,1/96 %1.04,0/70 %0.0
Febrile neutropenia,7/96 %7.29,0/70 %0.0
Cardiac arrest,0/96 %0.0,1/70 %1.43
Heart failure,1/96 %1.04,0/70 %0.0
Left ventricular systolic dysfunction,2/96 %2.08,1/70 %1.43
Sinus tachycardia,2/96 %2.08,0/70 %0.0
Ear and labyrinth disorders - Other specify,1/96 %1.04,0/70 %0.0
Endocrine disorders - Other specify,1/96 %1.04,0/70 %0.0
Abdominal distension,1/96 %1.04,0/70 %0.0
Abdominal pain,5/96 %5.21,0/70 %0.0
Anal ulcer,1/96 %1.04,0/70 %0.0
Ascites,1/96 %1.04,0/70 %0.0
Colitis,5/96 %5.21,0/70 %0.0
Diarrhea,8/96 %8.33,1/70 %1.43
Esophageal pain,1/96 %1.04,0/70 %0.0
Esophageal stenosis,1/96 %1.04,0/70 %0.0
Esophagitis,1/96 %1.04,0/70 %0.0
Gastric hemorrhage,1/96 %1.04,0/70 %0.0
Ileus,1/96 %1.04,0/70 %0.0
Mucositis oral,7/96 %7.29,0/70 %0.0
Nausea,4/96 %4.17,0/70 %0.0
Oral hemorrhage,1/96 %1.04,0/70 %0.0
Oral pain,1/96 %1.04,0/70 %0.0
Pancreatitis,2/96 %2.08,0/70 %0.0
Rectal fistula,1/96 %1.04,0/70 %0.0
Rectal hemorrhage,2/96 %2.08,0/70 %0.0
Rectal pain,1/96 %1.04,0/70 %0.0
Typhlitis,5/96 %5.21,0/70 %0.0
Upper gastrointestinal hemorrhage,2/96 %2.08,0/70 %0.0
Vomiting,5/96 %5.21,0/70 %0.0
Death NOS,30/96 %31.25,30/70 %42.86
Fever,1/96 %1.04,0/70 %0.0
Multi-organ failure,1/96 %1.04,0/70 %0.0
Pain,2/96 %2.08,0/70 %0.0
Hepatobiliary disorders - Other specify,1/96 %1.04,0/70 %0.0
Portal hypertension,2/96 %2.08,0/70 %0.0
Allergic reaction,2/96 %2.08,0/70 %0.0
Appendicitis,1/96 %1.04,0/70 %0.0
Catheter related infection,2/96 %2.08,0/70 %0.0
Enterocolitis infectious,1/96 %1.04,0/70 %0.0
Esophageal infection,1/96 %1.04,0/70 %0.0
Gum infection,1/96 %1.04,0/70 %0.0
Infections and infestations - Other specify,4/96 %4.17,1/70 %1.43
Lung infection,2/96 %2.08,0/70 %0.0
Mucosal infection,0/96 %0.0,1/70 %1.43
Sepsis,8/96 %8.33,0/70 %0.0
Sinusitis,1/96 %1.04,0/70 %0.0
Skin infection,4/96 %4.17,0/70 %0.0
Stoma site infection,1/96 %1.04,0/70 %0.0
Tracheitis,1/96 %1.04,0/70 %0.0
Dermatitis radiation,1/96 %1.04,0/70 %0.0
Fracture,1/96 %1.04,0/70 %0.0
Alanine aminotransferase increased,9/96 %9.38,0/70 %0.0
Alkaline phosphatase increased,1/96 %1.04,0/70 %0.0
Aspartate aminotransferase increased,5/96 %5.21,0/70 %0.0
Blood bilirubin increased,3/96 %3.12,0/70 %0.0
Ejection fraction decreased,1/96 %1.04,0/70 %0.0
GGT increased,3/96 %3.12,0/70 %0.0
INR increased,1/96 %1.04,0/70 %0.0
Lipase increased,3/96 %3.12,0/70 %0.0
Lymphocyte count decreased,2/96 %2.08,0/70 %0.0
Neutrophil count decreased,5/96 %5.21,1/70 %1.43
Platelet count decreased,8/96 %8.33,0/70 %0.0
Serum amylase increased,1/96 %1.04,0/70 %0.0
Weight loss,6/96 %6.25,1/70 %1.43
White blood cell decreased,5/96 %5.21,0/70 %0.0
Anorexia,4/96 %4.17,1/70 %1.43
Dehydration,7/96 %7.29,0/70 %0.0
Hypercalcemia,1/96 %1.04,0/70 %0.0
Hyperglycemia,10/96 %10.42,0/70 %0.0
Hypertriglyceridemia,1/96 %1.04,0/70 %0.0
Hypoalbuminemia,1/96 %1.04,0/70 %0.0
Hypocalcemia,1/96 %1.04,0/70 %0.0
Hypokalemia,5/96 %5.21,0/70 %0.0
Hyponatremia,3/96 %3.12,0/70 %0.0
Hypophosphatemia,3/96 %3.12,0/70 %0.0
Musculoskeletal and connective tissue disorder - Other specify,1/96 %1.04,0/70 %0.0
Pain in extremity,1/96 %1.04,0/70 %0.0
Myelodysplastic syndrome,1/96 %1.04,0/70 %0.0
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other specify,7/96 %7.29,5/70 %7.14
Depressed level of consciousness,2/96 %2.08,0/70 %0.0
Hydrocephalus,1/96 %1.04,0/70 %0.0
Peripheral sensory neuropathy,2/96 %2.08,0/70 %0.0
Seizure,0/96 %0.0,1/70 %1.43
Syncope,3/96 %3.12,0/70 %0.0
Vasovagal reaction,1/96 %1.04,0/70 %0.0
Delirium,1/96 %1.04,0/70 %0.0
Acute kidney injury,2/96 %2.08,0/70 %0.0
Hematuria,2/96 %2.08,0/70 %0.0
Penile pain,1/96 %1.04,0/70 %0.0
Adult respiratory distress syndrome,0/96 %0.0,1/70 %1.43
Apnea,2/96 %2.08,0/70 %0.0
Epistaxis,1/96 %1.04,0/70 %0.0
Hypoxia,1/96 %1.04,0/70 %0.0
Laryngeal edema,1/96 %1.04,0/70 %0.0
Pulmonary edema,1/96 %1.04,0/70 %0.0
Respiratory failure,1/96 %1.04,1/70 %1.43
Sore throat,1/96 %1.04,0/70 %0.0
Stridor,2/96 %2.08,0/70 %0.0
Rash maculo-papular,1/96 %1.04,0/70 %0.0
Hypotension,6/96 %6.25,0/70 %0.0
Thromboembolic event,2/96 %2.08,0/70 %0.0
Vascular disorders - Other specify,1/96 %1.04,0/70 %0.0

NGR015: Study in Second Line for Patient With Advanced Malignant Pleural Mesothelioma Pretreated With Pemetrexed(https://clinicaltrials.gov/show/NCT01098266)
 ,A: NGR-hTNF + BIC,B: Placebo+BIC
 ,NGR-hTNF plus Best Investigator's Choice  NGR-hTNF plus Best Investigator's Choice (BIC): - NGR-hTNF: 0.8 mcg/m² as 60-minute intravenous infusion every week until confirmed evidence of disease progression or unacceptable toxicity occurs.  Best Supportive Care: antibiotics analgesics antiemetics thoracentesis pleurodesis blood transfusions nutritional support and focal external-beam radiation for control of pain cough dyspnea or hemoptysis  Investigator's Choice: one of the following single-agent chemotherapy might be administered in combination:  Doxorubicin: 60-75 mg/m2 every 3 weeks for a maximum of 6 cycles  Gemcitabine: 1000-1250 mg/m2 on days 1 and 8 every 3 weeks for a maximum of 6 cycles  Vinorelbine: 25 mg/m2 iv (or 60 mg/m2 per os) on days 1 and 8 every 3 weeks for a maximum of 6 cycles (or weekly for 12 weeks),Placebo plus Best Investigator's Choice  Placebo plus Best Investigator's Choice (BIC): - Placebo: 0.8 mcg/m² as 60-minute intravenous infusion every week until confirmed evidence of disease progression or unacceptable toxicity occurs.  Best Supportive Care: antibiotics analgesics antiemetics thoracentesis pleurodesis blood transfusions nutritional support and focal external-beam radiation for control of pain cough dyspnea or hemoptysis  Investigator's Choice: one of the following single-agent chemotherapy might be administered in combination:  Doxorubicin: 60-75 mg/m2 every 3 weeks for a maximum of 6 cycles  Gemcitabine: 1000-1250 mg/m2 on days 1 and 8 every 3 weeks for a maximum of 6 cycles  Vinorelbine: 25 mg/m2 iv (or 60 mg/m2 per os) on days 1 and 8 every 3 weeks for a maximum of 6 cycles (or weekly for 12 weeks)
Total all-cause mortality,12/193 %6.22,13/193 %6.74
Total serious adverse events,56/193 %29.02,54/193 %27.98
Neutropenia,2/193 %1.04,4/193 %2.07
Thrombocytopenia,1/193 %0.52,0/193 %0.0
Leukopenia,0/193 %0.0,1/193 %0.52
Neutropenic fever,0/193 %0.0,2/193 %1.04
Anaemia,0/193 %0.0,1/193 %0.52
Pericardial effusion,1/193 %0.52,2/193 %1.04
Atrial fibrillation,1/193 %0.52,1/193 %0.52
Cardiac disorder,1/193 %0.52,0/193 %0.0
Cardiac failure,1/193 %0.52,0/193 %0.0
Myocardial infarction,0/193 %0.0,1/193 %0.52
Pericarditis,0/193 %0.0,1/193 %0.52
Cardiac arresr,0/193 %0.0,1/193 %0.52
Intestinal obstruction,0/193 %0.0,1/193 %0.52
Diarrhoea,2/193 %1.04,0/193 %0.0
Pancreatitis,0/193 %0.0,1/193 %0.52
Constipation,2/193 %1.04,1/193 %0.52
Abdominal pain,0/193 %0.0,2/193 %1.04
Abdominal ascites,1/193 %0.52,1/193 %0.52
Dysphagia,1/193 %0.52,0/193 %0.0
Vomiting,2/193 %1.04,0/193 %0.0
Chills,2/193 %1.04,0/193 %0.0
Mucositis,0/193 %0.0,1/193 %0.52
Pyrexia,2/193 %1.04,2/193 %1.04
Death,3/193 %1.55,2/193 %1.04
Hyperpyrexia,1/193 %0.52,0/193 %0.0
Ischaemic ulcer to left heel,0/193 %0.0,1/193 %0.52
Chest pain,3/193 %1.55,3/193 %1.55
Deterioration of clinical status,1/193 %0.52,1/193 %0.52
Admitted for pain control,1/193 %0.52,0/193 %0.0
Fatigue,0/193 %0.0,1/193 %0.52
Condition aggraveted,4/193 %2.07,5/193 %2.59
Acute hepatitis,0/193 %0.0,1/193 %0.52
Brain mets,1/193 %0.52,0/193 %0.0
Cellulitis,0/193 %0.0,1/193 %0.52
Pneumonia,0/193 %0.0,3/193 %1.55
Neutropenic sepsis,1/193 %0.52,1/193 %0.52
Appendiceal abscess,0/193 %0.0,1/193 %0.52
Sepsis,2/193 %1.04,1/193 %0.52
Infection - source unknown,1/193 %0.52,0/193 %0.0
Viral gastroenteritis,1/193 %0.52,0/193 %0.0
Lower Respiratory Tract Infection,2/193 %1.04,1/193 %0.52
Lung Infection,0/193 %0.0,1/193 %0.52
. Respiratory Tract Infection,0/193 %0.0,1/193 %0.52
