,title,descriptions
NCT01889069-1,Diffuse Large B-Cell Lymphoma (DLBCL),Description: Participants with DLBCL who had received at least 4 doses of rituximab 1400 mg SC once a month during the treatment phase up to a maxium of 7 cycles in addition to standard chemotherapy. Standard chemotherapy regimen included cyclophosphamide vincristine doxorubicin and prednisone (CHOP); or cyclophosphamide vincristine and prednisone (CVP); as per standard local practice.
NCT01889069-2,Follicular Lymphoma (FL),Description: Participants with CD20+ non-Hodgkin's (FL) who had received at least 4 doses of rituximab 1400 mg SC once a month during the Induction period and at least 6 doses of rituximab 1400 mg SC once every two months during the Maintenance period in addition to standard chemotherapy. Standard chemotherapy regimen included cyclophosphamide vincristine doxorubicin and prednisone (CHOP); or cyclophosphamide vincristine and prednisone (CVP); or bendamustine as per standard local practice.
D007710,klebsiella infection,
D000400,swimbladder,
D002916,chylothorax,
NCT01925612,Study of Brentuximab Vedotin Combined With RCHOP or RCHP in Front-line Treatment of Patients With Diffuse Large B-cell Lymphoma (DLBCL),
NCT01925612-1,Part 1: BV(1.2 mg/kg) + RCHOP,Description: Brentuximab vedotin 1.2 mg/kg plus rituximab cyclophosphamide doxorubicin vincristine prednisone  brentuximab vedotin: 1.2 mg/kg by IV infusion every 3 weeks for up to 6 cycles  rituximab: 375 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  vincristine: 1.4 mg/m2 every 3 weeks by IV infusion for up to 6 cycles (dose capped at 2 mg total)  cyclophosphamide: 750 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  prednisone: 100 mg on Days 1 to 5 of each 3-week cycle orally for up to 6 cycles  doxorubicin: 50 mg/m2 every 3 weeks by IV infusion for up to 6 cycles
NCT01925612-2,Part 1: BV(1.8 mg/kg) + RCHOP,Description: Brentuximab vedotin 1.8 mg/kg plus rituximab cyclophosphamide doxorubicin vincristine prednisone  brentuximab vedotin: 1.8 mg/kg by IV infusion every 3 weeks for up to 6 cycles  rituximab: 375 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  vincristine: 1.4 mg/m2 every 3 weeks by IV infusion for up to 6 cycles (dose capped at 2 mg total)  cyclophosphamide: 750 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  prednisone: 100 mg on Days 1 to 5 of each 3-week cycle orally for up to 6 cycles  doxorubicin: 50 mg/m2 every 3 weeks by IV infusion for up to 6 cycles
NCT01925612-3,Part 2: BV(1.8 mg/kg) + RCHP,Description: Brentuximab vedotin 1.8 mg/kg plus rituximab cyclophosphamide doxorubicin prednisone  brentuximab vedotin: 1.8 mg/kg by IV infusion every 3 weeks for up to 6 cycles  rituximab: 375 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  cyclophosphamide: 750 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  prednisone: 100 mg on Days 1 to 5 of each 3-week cycle orally for up to 6 cycles  doxorubicin: 50 mg/m2 every 3 weeks by IV infusion for up to 6 cycles
NCT01925612-4,Part 3: BV(1.8 mg/kg) + RCHP,Description: Brentuximab vedotin 1.8 mg/kg plus rituximab cyclophosphamide doxorubicin prednisone  brentuximab vedotin: 1.8 mg/kg by IV infusion every 3 weeks for up to 6 cycles  rituximab: 375 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  cyclophosphamide: 750 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  prednisone: 100 mg on Days 1 to 5 of each 3-week cycle orally for up to 6 cycles  doxorubicin: 50 mg/m2 every 3 weeks by IV infusion for up to 6 cycles
NCT01925612-5,Part 3: RCHOP,Description: Rituximab cyclophosphamide doxorubicin vincristine prednisone  rituximab: 375 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  vincristine: 1.4 mg/m2 every 3 weeks by IV infusion for up to 6 cycles (dose capped at 2 mg total)  cyclophosphamide: 750 mg/m2 every 3 weeks by IV infusion for up to 6 cycles  prednisone: 100 mg on Days 1 to 5 of each 3-week cycle orally for up to 6 cycles  doxorubicin: 50 mg/m2 every 3 weeks by IV infusion for up to 6 cycles
D014786,visual impairment,
D001988,bronchiolitis,
NCT01940497,A Study of the Safety of Subcutaneously Administered Trastuzumab (Herceptin) in Participants With Early and Locally Advanced Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Breast Cancer,
NCT01940497-1,Trastuzumab (Vial): Adjuvant,Description: Participants received trastuzumab 600 mg subcutaneously using a vial every 3 weeks (1 cycle) for 1 year (4 cycles in combination with adjuvant chemotherapy [consisting of doxorubicin paclitaxel or docetaxel] and 14 cycles administered alone).
NCT01940497-2,Trastuzumab (Vial): Neoadjuvant,Description: Participants received trastuzumab 600 mg subcutaneously using a vial every 3 weeks (1 cycle) for 1 year (4 cycles in combination with neoadjuvant chemotherapy [consisting of doxorubicin paclitaxel or docetaxel] and 14 cycles administered alone).
NCT01940497-3,Trastuzumab (SID) Adjuvant,Description: Participants received trastuzumab 600 mg subcutaneously using SID every 3 weeks (1 cycle) for 1 year (4 cycles in combination with adjuvant chemotherapy [consisting of doxorubicin paclitaxel or docetaxel] and 14 cycles administered alone).
NCT01940497-4,Trastuzumab (SID) Neoadjuvant,Description: Participants received trastuzumab 600 mg subcutaneously using SID every 3 weeks (1 cycle) for 1 year (4 cycles in combination with neoadjuvant chemotherapy [consisting of doxorubicin paclitaxel or docetaxel] and 14 cycles administered alone).
D000077216,epithelial ovarian cancer,
D000073222,two-item generalised anxiety disorder scale,
NCT01964755,Chemotherapy for Relapsed Epstein Barr Virus Associated Lymphoma,
NCT01964755-1,Chemotherapy + Antiviral-Based Therapy,Description: Combination Chemotherapy for up to six (6) 21-day cycles and Antiviral-Based Therapy per study protocol:  Chemotherapy: Up to 6 cycles 21 days each:  Doxorubicin: 20 mg/m2 intravenously (IV) on Day 1;  Rituximab: 375mg/m2 (optional) IV on Day 1;  Methotrexate: 3.5 gm/m2 IV on Day 2;  Leucovorin: 10 mg/m2 IV starting approximately 24 hours after start of Methotrexate infusion and then 25 mg orally every 6 hours for at least 10 doses;  Antiviral-Based Therapy  Zidovudine: Starting 750 mg/m2 IV on Day 2 then 1200 mg orally twice daily for 10 doses;  Hydroxyurea: 1000 mg orally twice daily starting Day 2 for a total of 10 doses.  Doxorubicin: Doxorubicin 20 mg/m2 intravenously will be administered on Day 1 in patients with systemic (non-primary CNS) lymphoma as per institutional guidelines  Methotrexate: Methotrexate administered starting on Day 2.
NCT01992653,A Study of Polatuzumab Vedotin in Combination With Rituximab or Obinutuzumab  Cyclophosphamide  Doxorubicin  and Prednisone in Participants With B-Cell Non-Hodgkin's Lymphoma,
NCT01992653-1,Polatuzumab Vedotin (1.0mg) + R-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with R-CHP.
NCT01992653-2,Polatuzumab Vedotin (1.4mg) + R-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with R-CHP.
NCT01992653-3,Polatuzumab Vedotin (1.8mg) + R-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with R-CHP.
NCT01992653-4,Polatuzumab Vedotin (2.4mg) + R-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with R-CHP. The participant in this group was incorrectly dosed on 2.4mg Pola R-CHP group and should have been assigned to the 1.8mg Pola R-CHP group.
NCT01992653-5,Polatuzumab Vedotin (1.4mg) + G-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with G-CHP.
NCT01992653-6,Polatuzumab Vedotin (1.8mg) + G-CHP,Description: Dose Escalation: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with G-CHP.
NCT01992653-7,Expansion: Polatuzumab Vedotin (1.8mg) + R-CHP,Description: Dose Expansion: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with R-CHP. Participants treated with MTD determined from dose escalation cohorts.
NCT01992653-8,Expansion: Polatuzumab Vedotin (1.8mg) + G-CHP,Description: Dose Expansion: Participants will receive a total of six to eight 21-day cycles of polatuzumab vedotin in combination with G-CHP. Participants treated with MTD determined from dose escalation cohorts.
D007252,influenzavirus vaccines,
D001172,rheumatoid arthritis,
NCT02007954,Doxorubicin-eluting LC Bead M1 for Patients With Hepatocellular Carcinoma,
NCT02007954-1,DEBDOX,Description: DEBDOX: DEBDOX loaded with doxorubicin is a device that utilizes beads in place of lipiodol to deliver the chemotherapy into the liver tumor. The device allows for continuous elution of doxorubicin into the liver tumor tissue. The advantages of this method of delivery in comparison to conventional TACE are that the beads are able to deliver a greater volume and concentration of the drugs to the tumor because of their unique ability to elute the drug over a period of several days. As a result of this unique delivery systemic toxicity is significantly reduced. The potential advantages of the smaller beads are deeper penetration into the tumor bed while avoiding premature proximal occlusion of vessels feeding the tumor and more consistent dosing. These properties translate into greater potency of therapy and potentially improved patient survival.
NCT02018458,Safety Study Of Chemotherapy Combined With Dendritic Cell Vaccine to Treat Breast Cancer,
NCT02018458-1,LA TNBC: DC Vaccine+Preop Chemo,Description: Patients will undergo a 2-week run-in treatment of daily anakinra alone. This will be followed by daily anakinra (100 mg SC) plus the physician's chemotherapy ( TPC) choice of standard of care (SOC) for a maximum of 6 months.
D016280,atrial function right,
D000069584,right-sided breast neoplasms,
NCT02055820,A Study Evaluating the Safety  Efficacy and Pharmacokinetics of Venetoclax Combined With Chemotherapy in Participants With B-Cell Non-Hodgkin's Lymphoma (NHL) and DLBCL,
NCT02055820-1,Venetoclax 200 mg +R-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + rituximab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-2,Venetoclax 400 mg +R-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + rituximab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-3,Venetoclax 600 mg +R-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + rituximab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-4,Venetoclax 800 mg +R-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + rituximab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-5,Venetoclax 800 mg +R-CHOP Phase II,Description: Phase II: Participants received 6 cycles of CHOP and 8 cycles of venetoclax (at dose determined in Phase I) + rituximab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-6,Venetoclax 200 mg +G-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + obinutuzumab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-7,Venetoclax 400 mg +G-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + obinutuzumab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-8,Venetoclax 600 mg +G-CHOP,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + obinutuzumab. Each cycle consisted of 21 days. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-9,Venetoclax 800 mg + G-CHOP A,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + obinutuzumab. Each cycle consisted of 21 days. In this arm venetoclax was administered as follows: Cycle 1 Days 4-10; Cycles 2-8 Days 1-10 Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
NCT02055820-10,Venetoclax 800 mg +G-CHOP B,Description: Phase I: Participants received 6 cycles of CHOP and 8 cycles of venetoclax + obinutuzumab. Each cycle consisted of 21 days. In this arm venetoclax was administered as follows: Cycle 1 Days 4-8; Cycles 2-8 Days 1-5. Participants who experienced ongoing response without excessive toxicity could receive up to eight cycles of CHOP following discussion between the investigator and the Medical Monitor.
D009901,optic neuropathy,
D013271,gastric dilatation,
10061970,gastric stenosis,
D009869,oophoritis,
D012793,sialoadenitis,
D053821,cardiovascular infections,
D051299,post-lumbar puncture headache,
D005909,glioblastoma,
D002346,carotid sinus,
D007002,hypoglossal nerve,
NCT02096588,Detection and Prevention of Anthracycline-Related Cardiac Toxicity With Concurrent Simvastatin,
NCT02096588-1,Simvastatin,Description: Simvastatin will be administered on an outpatient basis orally at a dose of 40 mg once daily. Treatment will start 7 days prior to the planned doxorubicin/cyclophosphamide chemotherapy initiation and will continue for a total of 25 weeks.  Simvastatin: Simvastatin will be administered on an outpatient basis orally at a dose of 40 mg once daily.  Doxorubicin/cyclophosphamide: The standard chemotherapy regimen that must be planned for all participants in order to take part in this study. The regimen is given every 2 or 3 weeks per standard of care at the direction of the treating physician.
NCT02096588-2,No Drug,Description: Participant not randomized to simvastatin will participate in all aspects of the study including planned doxorubicin/cyclophosphamide chemotherapy with the exception of simvastatin administration.  Doxorubicin/cyclophosphamide: The standard chemotherapy regimen that must be planned for all participants in order to take part in this study. The regimen is given every 2 or 3 weeks per standard of care at the direction of the treating physician.
NCT02101788,Trametinib in Treating Patients With Recurrent or Progressive Low-Grade Ovarian Cancer or Peritoneal Cavity Cancer,
NCT02101788-1,Arm A - Control Arm,Description: Investigators choice of Letrozole 2.5 mg po qd continuously tamoxifen 20mg po bid continuously paclitaxel 80mg/m2 IV over 1 hr on day 1q 7d 3 wks on 1 wk off Pegylated Liposomal Doxorubicin 40 or 50mg/m2 IV over 1 hr on day 1 q. 28d Topotecan 4.0mg/m2 over 30 min on day 18 and 15 of a 28 day cycle. For each arm 1 cycle - 28 days
NCT02101788-2,Arm B - Experimental Arm,Description: Trametinib 2 mg po daily continuous treatment For each arm 1 cycle = 28 days
NCT02101788-3,Crossover From Control to Experimental Arm,Description: Patients randomized to the control arm who crossed over to the experimental arm after disease progression.
10038901,retinal vascular disorder,
10010004,colonic stenosis,
10065732,jejunal obstruction,
10059094,intestinal stoma obstruction,
NCT02142049,Ibrutinib and Lenalidomide With Dose Adjusted EPOCH-R in Subjects With Relapsed/Refractory Diffuse Large B-cell Lymphoma,
NCT02142049-1,Part 1: Dose Level 1,Description: Ibrutinib 560 mg PO + DA-EPOCH-R + lenalidomide 0 (PO)  DA-EPOCH-R: Etoposide Prednisone Doxorubicin Cyclophosphamide Vincristine Rituximab Pegfilgrastim
NCT02142049-2,Part 1: Dose Level 2,Description: Ibrutinib 560 mg PO + DA-EPOCH-R + lenalidomide 15 (PO)  DA-EPOCH-R: Etoposide Prednisone Doxorubicin Cyclophosphamide Vincristine Rituximab Pegfilgrastim
NCT02142049-3,Part 1: Dose Level 3,Description: Ibrutinib 560 mg PO + DA-EPOCH-R + lenalidomide 20 (PO)  DA-EPOCH-R: Etoposide Prednisone Doxorubicin Cyclophosphamide Vincristine Rituximab Pegfilgrastim
NCT02142049-4,Part 1: Dose Level 4,Description: Ibrutinib 560 mg PO + DA-EPOCH-R + lenalidomide 25 mg (PO)  DA-EPOCH-R: Etoposide Prednisone Doxorubicin Cyclophosphamide Vincristine Rituximab Pegfilgrastim
NCT02142049-5,All Subjects Treated at RP2D,Description: Ibrutinib 560 mg (PO) +lenalidomide 25 mg (PO) + DA-EPOCH-R  DA-EPOCH-R: Etoposide Prednisone Doxorubicin Cyclophosphamide Vincristine Rituximab Pegfilgrastim
D000539,alveolar process,
NCT02147301,TACE Using Doxorubicin-eluting Beads for Patients With HCC and Marginal Hepatic Reserve,
NCT02147301-1,DEB-TACE,Description: Doxorubicin Eluting Bead Transarterial Chemoembolization (DEB-TACE):  Doxorubicin-loaded LC Beads® are administered via a co-axially placed commercially available hepatic artery catheter into hepatic arteries targeted for treatment. Procedure is performed under direct fluoroscopic visualization until stasis of arterial flow is achieved or until a total of 4 ml of microspheres have been administered whichever occurs first  LC Bead: Doxorubicin Eluting Bead Transarterial Chemoembolization (DEB-TACE):  Doxorubicin-loaded LC Beads® are administered via a co-axially placed commercially available hepatic artery catheter into hepatic arteries targeted for treatment. Procedure is performed under direct fluoroscopic visualization until stasis of arterial flow is achieved or until a total of 4 ml of microspheres have been administered whichever occurs first.
NCT02180867,Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Before Surgery in Treating Patients With Newly Diagnosed Non-rhabdomyosarcoma Soft Tissue Sarcomas That Can Be Removed by Surgery,
NCT02180867-1,Dose-Finding Level 1 CR,Description: Dose-Finding Level 1 CR:  Adult: Pazopanib 600 mg; Pediatric: Pazopanib 350 mg/m2
NCT02180867-2,Dose-Finding Level 1 RT,Description: Dose-Finding Level 1 RT:  Adult: Pazopanib 600 mg; Pediatric: Pazopanib 350 mg/m2
NCT02180867-3,Dose-Finding Level 2 RT,Description: Dose-Finding Level 2 RT:  Adult: Pazopanib 800 mg; Pediatric: Pazopanib 450 mg/m2
NCT02180867-4,Regimen A,Description: Regimen A: Chemoradiation plus pazopanib
NCT02180867-5,Regimen B,Description: Regimen B: Chemoradiation alone
NCT02180867-6,Regimen C,Description: Regimen C: Radiation therapy plus pazopanib
NCT02180867-7,Regimen D,Description: Regimen D: Radiation therapy alone
10034405,perforation bile duct,
D007826,laryngospasm,
NCT02181075,Targeted Chemotherapy Using Focused Ultrasound for Liver Tumours,
NCT02181075-1,Part I (Patients Enrolled Between March 2015-April 2017),Description: Arm 1 - see above
NCT02181075-2,Part II (Patients Enrolled Between June 2016-Feb 2017),Description: Arm 2 - see above
NCT02181738,Study of Nivolumab in Patients With Classical Hodgkin's Lymphoma (Registrational),
NCT02181738-1,COHORT A,Description: Nivolumab 3mg/kg Q2wk Brentuximab vedotin Naive
NCT02181738-2,COHORT B,Description: Nivolumab 3mg/kg Q2wk Post Transplant Brentuximab vedotin
NCT02181738-3,COHORT C,Description: Nivolumab 3mg/kg Q2wk Post Transplant with Brentuximab vedotin prior and or after ASCT
NCT02181738-4,Cohort D,Description: Nivolumab 240 mg IV Q2wk 8 doses monotherapy followed by twelve doses in combination with AVD
D019693,autoimmune hepatitis,
D008193,lyme disease,
D001999,bronchoscopy,
D008826,viral drug sensitivity tests,
D016883,diabetic ketoacidosis,
NCT02255110,A Japanese Trial of TH-302 in Subjects With Locally Advanced Unresectable or Metastatic Soft Tissue Sarcoma,
NCT02255110-1,TH-302 and Doxorubicin,Description: Subjects received TH-302 at a dose of 300 milligram per square meter (mg/m^2) by intravenous infusion over 30 minutes on Day 1 and 8 of every 21-day cycle and Doxorubicin at a dose of 75 mg/m^2 by intravenous injection (over at least 5 minutes) or by intravenous infusion over 6-96 hours on Day 1 of every 21-day cycle starting 2 to 4 hours after completion of TH-302 administration until the evidence of significant treatment-related toxicity or progressive disease.
NCT02267083,Efficacy and Safety Study of GPX-150 to Treat Soft Tissue Sarcoma,
NCT02267083-1,GPX-150,Description: GPX-150 for Injection 265 mg/m2 every 21 days for 16 cycles or until death disease progression or unacceptable toxicity or subject withdrawal.  GPX-150 for Injection: GPX-150 at a starting dose of 265 mg/m2 every 21 days for 16 cycles or until death disease progression or unacceptable toxicity. The dose of GPX-150 may be reduced by 25% if any dose reduction criteria are met. Two reductions are allowed per subject during the course of the study.
D018223,metastatic dermatofibrosarcoma protuberans,
NCT02268045,Study of RTXM83 Plus CHOP Chemotherapy Versus a Rituximab Plus CHOP Therapy in Patients With Non Hodgkin's Lymphoma,
NCT02268045-1,RTXM83-CHOP,Description: Patients treated with Rituximab biosimilar in combination with CHOP chemotherapy
NCT02268045-2,MabThera-CHOP,Description: Patients treated with Rituximab in combination with CHOP chemotherapy
NCT02272790,Adavosertib Plus Chemotherapy in Platinum-Resistant Epithelial Ovarian  Fallopian Tube  or Primary Peritoneal Cancer,
NCT02272790-1,Arm A,Description: Adavosertib 175 mg orally QD on Days 1 2 8 9 15 and 16 of 28 day cycles. Gemcitabine 800 mg/m² IV on Days 1 8 and 15 of 28 day cycles.
NCT02272790-2,Arm B,Description: Adavosertib 225 mg orally BID (5 doses over 3 days) on Days 1-3 8-10 and 15-17 of 28 day cycles. Paclitaxel 80 mg/m² IV on Days 1 8 and 15 of 28 day cycles.
NCT02272790-3,Arm C,Description: Adavosertib 225 mg orally BID (5 doses over 3 days) on Days 1-3 of 21 day cycles.  Carboplatin AUC 5 IV on Day 1 of 21 day cycles.
NCT02272790-4,Arm C2,Description: Adavosertib 225 mg orally BID (5 doses over 3 days) on Days 1-3 8-10 and 15-17 of 21 day cycles. Carboplatin AUC 5 IV on Day 1 of 21 day cycles.
NCT02272790-5,Arm D-175 mg,Description: Adavosertib 175 mg orally BID (5 doses over 3 days) on Days 1-3 of 28 day cycles.  Pegylated liposomal doxorubicin 40 mg/m² IV on Day 1 of 28 day cycles.
NCT02272790-6,Arm D-225 mg,Description: Adavosertib 225 mg orally BID (5 doses over 3 days) on Days 1-3 of 28 day cycles.  Pegylated liposomal doxorubicin 40 mg/m² IV on Day 1 of 28 day cycles.
NCT02282020,Olaparib Treatment in Relapsed Germline Breast Cancer Susceptibility Gene (BRCA) Mutated Ovarian Cancer Patients Who Have Progressed at Least 6 Months After Last Platinum Treatment and Have Received at Least 2 Prior Platinum Treatments,
NCT02282020-1,Olaparib 300mg BID,Description: Participants received olaparib twice daily as a 300 mg tablet.
NCT02282020-2,Selected Chemotherapy,Description: Participants received physician's choice of chemotherapy out of weekly paclitaxel topotecan pegylated liposomal doxorubicin or gemcitabine.
D000069282,canaliculitis,
D008642,mesenteric veins,
D014883,water-electrolyte imbalance,
NCT02285062,Efficacy and Safety Study of Lenalidomide Plus R-CHOP Chemotherapy Versus Placebo Plus R-CHOP Chemotherapy in Untreated ABC Type Diffuse Large B-cell Lymphoma,
NCT02285062-1,Lenalidomide Plus R-CHOP (R2-CHOP),Description: Participants received lenalidomide 15 mg capsules on days 1 to 14 of each 21 day treatment cycle followed by R-CHOP: rituximab 375 mg/m^2 by intravenous (IV) administration on Day 1 doxorubicin 50 mg/m^2 IV on Day 1 vincristine 1.4 mg/m^2 IV on Day 1 (maximum dose of 2.0 mg total) cyclophosphamide 750 mg/m^2 IV on Day 1 and oral or IV prednisone/prednisolone 100 mg on Day 1 to Day 5 of each 21 day treatment cycle for 6 cycles. Treatment continued until completed unless unacceptable toxicity treatment change disease progression or withdrawal of consent whichever occurred first. An additional two doses (1 dose per 21-day cycle) of single agent rituximab after the 6 cycles of treatment were completed if considered standard of care per local practice.
NCT02285062-2,Placebo Plus R-CHOP,Description: Participants received identically matching placebo capsules on days 1 to 14 of each 21 day treatment cycle followed by R-CHOP: rituximab 375 mg/m^2 by intravenous (IV) administration on Day 1 doxorubicin 50 mg/m^2 IV on Day 1 vincristine 1.4 mg/m^2 IV on Day 1 (maximum dose of 2.0 mg total) cyclophosphamide 750 mg/m^2 IV on Day 1 and oral or IV prednisone/prednisolone 100 mg on Day 1 to Day 5 of each 21 day treatment cycle for 6 to 8 cycles. Treatment continued until 6-8 cycles were completed unless unacceptable toxicity treatment change disease progression or withdrawal of consent occurred first. An additional two doses (1 dose per 21-day cycle) of single agent rituximab after the 6 cycles of treatment were completed if considered standard of care per local practice.
D003287,contrast media,
D000073557,campylobacteraceae,
D020198,intracranial hemorrhage traumatic,
D000069293,plasmablasts diffuse large b-cell lymphoma,
D020323,tic,
NCT02431559,Phase 1/2 Study of Motolimod  Doxorubicin  and Durvalumab in Recurrent  Platinum-Resistant Ovarian Cancer,
NCT02431559-1,Phase 1 Dose Level 0a,Description: Subjects received PLD (40 mg/m^2 IV on Day 1 of every cycle) + durvalumab (3 mg/kg Q2W [equivalent to 450 mg Q4W] IV on Days 3 and 17 of every cycle) for up to 12 continuous 28-day cycles (Core Study) with extended durvalumab monotherapy permitted for subjects tolerating and benefiting from treatment. Prior to removal of motolimod from the study subjects received motolimod (2.5 mg/m^2 SC) on Days 3 10 and 17 of Cycles 1-3 and Days 3 and 17 of Cycles 4-12.
NCT02431559-2,Phase 1 Dose Level 0b,Description: Subjects received PLD (40 mg/m^2 IV on Day 1 of every cycle) + durvalumab (1500 mg Q4W IV on Day 3 of every cycle) for up to 12 continuous 28-day cycles (Core Study) with extended durvalumab monotherapy permitted for subjects tolerating and benefiting from treatment. Prior to removal of motolimod from the study subjects received motolimod (2.0 mg/m^2 SC) on Days 3 10 and 17 of Cycles 1-3 and Day 3 of Cycles 4-12.
NCT02431559-3,Phase 1 Dose Level +1,Description: Subjects received PLD (40 mg/m^2 IV on Day 1 of every cycle) + durvalumab (1500 mg Q4W IV on Day 3 of every cycle) for up to 12 continuous 28-day cycles (Core Study) with extended durvalumab monotherapy permitted for subjects tolerating and benefiting from treatment. Prior to removal of motolimod from the study subjects received motolimod (2.5 mg/m^2 SC) on Days 3 10 and 17 of Cycles 1-3 and Day 3 of Cycles 4-12.
NCT02431559-4,Phase 2,Description: Subjects received the MTD determined in Phase 1 comprising PLD (40 mg/m^2 IV on Day 1 of every cycle) + durvalumab (1500 mg Q4W IV on Day 3 of every cycle) for up to 12 continuous 28-day cycles (Core Study) with extended durvalumab monotherapy permitted for subjects tolerating and benefiting from treatment.
D018988,bacterial translocation,
D005355,fibrosis,
10006556,bullous dermatitis,
NCT02448537,A Phase II Multi-Strata Study of PM01183 as a Single Agent or in Combination With Conventional Chemotherapy in Metastatic and/or Unresectable Sarcomas,
NCT02448537-1,Stratum A,Description: Anthracycline-naïve patients will receive combination of PM01183 and Doxorubicin per cycle.  PM01183 predetermined dose daily via IV per cycle  Doxorubicin predetermined dose daily via IV per cycle  PM01183  Doxorubicin
NCT02448537-2,Stratum B,Description: Prior anthracycline exposure and without prior gemcitabine exposure  PM01183 predetermined dose given twice via IV per cycle  Gemcitabine predetermined dose given twice via IV per cycle  PM01183  Gemcitabine
NCT02448537-3,Stratum C,Description: Patients who have received at least both prior anthracycline and prior gemcitabine  -PM01183 predetermined dose once via IV per cycle  PM01183
D000076263,imported infections,
D019299,decompression surgical,
NCT02460991,A Study of ONCO-DOX in Locally Advanced Hepatocellular Carcinoma,
NCT02494713,Hormonal Therapy and Chemotherapy Followed by Prostatectomy in Patients With Prostate Cancer,
NCT02494713-1,ADT + Chemotherapy,Description: Patients will be treated with 4 monthly injections of degarelix along with two 8-week cycles of chemotherapy (doxorubicin and ketoconazole weeks 1 3 5 and docetaxel and estramustine weeks 2 4 6). Each cycle of chemotherapy will consist of 6 weeks of chemotherapy and 2 weeks of rest. In the absence of toxicity or disease progression patients will receive 2 cycles of treatment prior to radical prostatectomy.  Degarelix: Subcutaneous injection once/month for 4 months  Doxorubicin: 20 mg/m2 as a 24-hour intravenous infusion on day 1 each week weeks 1 3 and 5  Ketoconazole: 400 mg orally 3 times daily for 7 days in weeks 1 3 and 5  Docetaxel: 35 mg/m2 intravenously on day 1 of each week weeks 2 4 and 6  Estramustine: 280 mg orally 3 times daily for 7 days in weeks 2 4 and 6
NCT02495454,GA101-miniCHOP Regimen for the Treatment of Elderly Unfit Patients With Diffuse Large B-cell Non-Hodgkin's Lymphoma,
NCT02495454-1,Single Arm,Description: 6 courses of GA101-miniCHOP regimen and 2 additional infusions of GA101 every 21 days (for a total of 6 courses of miniCHOP and 10 infusions of GA101).  NOTE: One SAE (atrial fibrillation) was recorded in patient excluded from analysis (not eligible for transformed lymphoma) exit before starting the 1st cycle of treatment.
D000071074,neonatal sepsis,
